300 17500
121 41 11
59 173 27
59 240 8
164 261 39
164 270 21
159 132 34
110 285 14
131 137 31
190 135 20
120 229 8
270 54 40
209 295 39
267 239 -2
95 211 -2
245 298 6
59 239 -2
60 244 14
125 287 26
274 189 26
271 178 1
132 184 14
213 267 15
237 66 18
273 106 25
140 190 11
177 156 20
265 214 18
230 299 29
15 110 23
80 298 37
238 94 0
217 142 17
174 267 -3
101 192 26
103 278 23
121 282 13
203 164 12
154 194 14
174 96 -2
14 150 34
284 26 20
47 263 24
8 118 20
177 202 26
214 199 31
141 124 14
123 6 13
154 156 24
66 241 19
222 53 9
272 160 18
162 114 26
286 32 9
142 261 22
83 232 15
176 29 26
73 194 3
152 122 3
120 232 5
159 46 24
290 191 34
13 106 4
69 226 7
110 26 40
134 82 9
188 293 17
67 234 40
272 62 22
136 27 4
180 38 19
154 125 7
99 27 18
171 16 26
222 279 0
252 283 30
189 209 22
245 265 31
296 272 35
290 188 7
80 178 -5
253 181 2
182 260 10
146 121 22
86 285 40
211 115 32
139 174 39
195 286 1
294 147 23
295 86 6
229 214 39
151 105 3
19 17 18
256 139 -1
50 144 18
53 251 33
149 23 8
117 72 33
185 115 -1
249 157 28
7 139 16
139 298 24
147 162 8
114 39 10
152 195 0
51 15 8
294 271 23
51 266 12
129 277 -5
135 231 25
165 221 11
26 239 12
298 216 31
177 221 -2
91 289 36
101 200 10
7 47 6
97 89 36
42 161 16
213 248 2
124 36 22
277 68 35
87 31 27
170 11 17
42 104 0
246 54 15
157 60 39
37 105 -5
4 205 37
172 123 28
195 205 -4
298 117 11
291 292 12
269 216 22
51 69 39
87 10 4
142 219 31
53 73 34
58 60 21
287 28 15
300 113 19
51 143 23
126 105 31
208 191 27
112 85 39
41 165 15
269 48 19
124 78 10
113 287 26
146 66 31
76 232 1
44 176 16
108 203 35
260 191 30
291 275 6
265 140 6
280 277 17
34 65 31
203 199 32
67 247 29
13 205 23
259 248 19
278 62 20
117 88 26
268 11 28
66 185 33
180 205 37
250 263 14
43 92 12
190 193 33
106 10 16
141 187 -2
74 273 23
24 297 32
189 113 39
264 121 24
27 13 28
5 14 16
219 19 16
23 210 8
116 121 4
63 214 32
238 229 3
180 277 18
129 275 8
73 140 32
30 37 32
64 70 3
255 186 39
88 24 18
144 88 26
253 36 24
41 106 35
212 265 36
209 94 12
129 178 38
43 27 0
83 56 3
74 295 20
269 205 36
100 198 14
173 216 1
119 101 8
210 158 24
261 264 30
249 167 32
112 107 18
211 281 -4
246 49 27
290 70 37
118 240 12
23 86 17
285 275 -4
239 119 27
49 91 39
11 106 31
255 92 12
235 207 0
115 105 -4
292 266 36
62 270 10
238 171 5
271 15 19
255 247 8
34 38 25
232 148 13
33 184 38
244 254 29
281 250 19
164 145 -3
5 244 23
54 55 9
73 233 14
175 182 20
298 177 11
26 10 25
195 140 36
279 272 10
155 59 16
49 57 10
47 122 39
81 35 17
255 19 18
177 158 9
283 211 25
284 271 24
58 82 37
215 152 20
43 191 34
165 163 0
103 67 19
144 14 18
260 288 8
118 233 4
219 162 35
46 7 -2
74 117 -5
204 152 10
33 89 12
30 117 20
86 41 26
153 231 32
253 228 12
10 6 10
20 212 31
88 179 8
98 241 2
135 240 10
60 35 37
254 143 4
51 168 25
44 286 17
278 82 18
287 55 39
140 12 30
282 271 2
202 273 38
254 42 7
219 252 36
129 200 15
228 32 18
292 12 19
129 136 38
186 72 7
230 188 36
38 16 40
80 132 24
22 200 39
76 245 32
130 171 34
107 152 25
164 82 1
11 248 33
127 233 11
78 37 -4
237 99 11
273 283 29
166 94 -1
105 27 11
153 190 5
229 300 -5
278 154 15
296 240 24
108 12 19
26 55 14
257 82 8
148 42 14
64 147 31
277 253 21
35 292 -1
242 273 2
235 199 -2
174 257 14
218 48 38
276 260 36
12 213 9
44 83 9
43 171 12
137 218 6
262 33 32
216 236 1
221 2 16
60 173 20
148 156 31
90 265 19
127 292 17
182 28 30
237 153 10
73 290 2
148 114 33
53 229 -5
218 286 0
119 97 12
18 222 12
61 288 7
61 292 -4
249 207 2
62 29 7
62 247 -1
205 24 16
222 99 24
244 240 9
223 98 35
9 218 5
8 226 13
273 224 5
133 147 38
223 287 9
167 85 29
264 88 35
74 86 38
34 132 39
222 48 -1
46 134 16
35 182 25
7 176 11
238 62 -5
293 40 -4
263 37 0
91 241 1
69 215 32
269 214 5
258 112 25
245 219 34
154 195 3
177 196 10
239 67 4
250 288 1
34 72 33
272 168 12
273 285 24
234 29 14
183 38 22
33 226 38
38 182 6
293 194 35
93 191 20
32 276 21
103 193 29
147 40 17
82 296 27
178 35 16
206 174 33
8 3 37
235 297 35
70 24 38
230 43 0
44 57 31
215 143 33
1 188 1
12 10 39
120 4 7
296 74 22
277 99 14
188 26 15
295 199 1
208 228 26
181 164 3
115 298 9
183 224 0
232 9 11
252 227 22
24 85 37
140 278 -5
281 82 3
266 88 14
72 187 16
299 284 14
62 284 11
3 119 32
218 136 14
56 26 23
53 161 13
234 210 4
275 241 6
224 189 -5
111 42 -4
265 266 10
202 186 3
226 296 25
193 35 17
288 12 30
74 186 -4
1 127 29
179 106 8
142 74 31
241 156 -1
28 54 -1
55 289 10
84 143 21
115 73 8
180 125 31
36 93 -4
150 188 3
198 165 9
52 5 4
19 245 -4
143 56 19
12 126 30
19 231 10
115 293 24
46 248 37
59 209 -4
276 272 -2
197 50 20
83 186 -1
146 154 11
300 49 10
4 256 39
78 180 15
184 215 31
164 199 14
13 20 37
271 13 10
219 94 24
228 117 39
88 199 33
272 297 29
197 184 17
201 165 21
240 120 29
145 141 24
243 32 -1
227 88 21
124 18 -3
43 278 21
203 300 31
144 7 13
63 125 28
233 119 28
170 110 7
283 95 24
122 41 28
178 213 39
272 291 8
56 235 12
267 259 36
169 234 12
205 137 32
70 227 26
264 5 13
75 169 36
41 231 31
3 219 9
245 129 35
140 121 -2
212 81 28
181 275 3
205 135 9
23 105 25
84 181 5
109 254 26
14 154 27
83 225 28
94 257 20
271 287 21
190 77 -5
300 83 -3
260 200 29
118 132 36
79 262 10
173 267 27
285 169 34
35 216 36
12 271 23
89 122 38
130 231 -3
73 69 31
4 286 25
91 210 -1
9 270 7
67 291 5
117 232 1
3 234 38
278 84 26
270 189 40
158 182 13
258 48 26
70 221 6
58 167 26
162 157 18
277 97 36
183 106 22
272 205 17
1 242 32
258 132 16
137 51 9
152 163 26
132 18 20
290 49 16
300 276 6
183 60 21
173 144 19
29 94 3
20 182 14
98 274 17
12 174 19
294 68 4
55 116 16
164 13 40
126 236 27
7 103 16
44 137 32
117 216 28
219 130 21
130 113 29
216 241 30
83 67 11
93 114 0
207 28 28
259 212 2
262 118 39
91 172 5
274 112 18
268 224 1
5 72 39
286 205 17
50 121 -5
93 158 5
37 279 22
23 186 29
205 189 32
157 260 31
29 71 15
60 24 36
149 173 21
158 207 4
272 209 13
30 73 40
13 44 23
266 285 29
70 27 38
140 137 33
157 87 22
22 187 -4
6 157 36
191 204 17
209 206 26
211 214 33
95 78 39
204 273 18
190 291 -4
76 260 31
290 289 23
279 227 38
19 138 11
140 153 1
275 259 13
263 232 9
253 287 7
252 8 13
59 236 2
152 70 30
224 13 38
66 68 10
204 214 29
231 185 -3
158 86 16
262 80 22
225 211 14
81 283 27
231 111 5
60 125 19
252 250 5
283 271 10
252 196 36
173 294 13
79 269 5
294 137 32
127 172 2
156 157 9
208 290 33
251 110 -4
28 18 19
246 93 36
217 114 27
195 271 18
31 71 39
283 225 28
102 168 11
212 17 2
84 69 39
105 205 28
241 116 2
264 257 40
144 37 1
61 190 6
89 29 37
106 138 -2
90 15 31
161 287 37
99 130 8
118 244 38
238 183 4
73 275 28
72 66 12
43 162 8
217 146 19
199 48 1
201 138 12
208 213 5
142 21 -2
16 114 39
279 20 10
10 40 39
284 8 16
190 217 38
39 104 29
184 55 39
124 105 11
278 64 -5
34 89 40
130 167 11
131 153 20
124 222 23
88 120 20
285 280 -3
131 288 23
131 242 2
241 249 14
249 252 7
3 83 19
105 103 -4
196 42 32
224 95 9
117 42 4
278 177 10
118 31 -5
151 222 7
252 88 -4
298 196 25
123 276 11
245 116 12
241 195 15
212 266 7
174 42 11
195 259 -4
42 292 1
170 297 27
132 47 36
219 228 2
12 111 17
204 184 24
266 176 0
10 144 7
185 285 32
89 278 13
85 141 38
18 109 17
118 17 2
217 133 10
293 65 35
299 249 13
68 283 13
291 231 6
229 27 -3
3 65 8
187 140 22
14 189 24
275 205 19
200 115 39
267 55 7
205 9 14
177 32 2
77 177 7
254 1 33
198 180 22
35 41 6
104 83 18
179 66 22
197 68 25
162 67 -3
241 112 7
85 271 1
131 115 6
281 167 12
271 298 29
131 179 13
103 22 21
203 172 30
53 193 6
185 278 -4
114 206 5
248 224 3
281 282 17
186 211 38
290 114 40
160 135 16
267 180 3
166 131 38
233 16 19
160 35 0
177 241 34
282 114 3
280 57 11
200 139 26
15 252 4
274 57 31
54 22 22
29 53 10
256 120 27
119 106 24
65 51 39
268 248 31
177 184 29
224 112 34
166 222 36
204 30 -5
112 139 10
101 193 17
150 235 11
254 60 -1
163 105 4
52 110 33
193 233 3
273 193 1
194 81 10
260 178 30
69 91 5
133 190 37
191 98 22
7 201 33
157 200 6
114 164 25
146 147 12
263 144 19
293 198 15
181 75 29
237 28 12
195 143 12
248 156 -3
91 145 0
101 149 35
98 155 14
229 4 33
96 110 12
116 243 15
192 49 16
63 230 10
105 283 25
122 205 37
240 50 34
24 124 17
96 222 -2
211 289 8
221 205 21
111 190 -4
202 115 28
60 118 28
284 1 30
173 31 15
91 2 25
135 155 12
246 256 27
282 259 11
241 212 24
259 9 21
195 90 17
85 37 -4
58 210 6
223 172 33
114 67 19
95 156 16
277 264 -1
206 288 17
227 61 22
28 151 33
94 85 1
92 8 -1
42 75 -1
42 24 0
253 159 -1
57 94 14
245 186 16
282 1 9
45 147 4
64 239 37
94 231 38
190 297 36
127 20 30
197 151 35
172 245 31
280 275 29
253 129 26
296 271 37
289 270 8
35 295 22
91 117 1
35 283 40
94 71 37
287 218 28
107 89 23
192 208 19
109 44 36
38 266 25
155 147 11
130 146 -3
107 52 29
106 211 31
152 14 22
250 240 28
80 177 20
158 279 22
34 170 8
267 131 -5
42 27 11
160 36 5
175 29 19
44 7 38
41 79 -2
141 279 12
69 278 4
20 77 14
19 170 -5
250 66 18
1 78 24
288 90 32
67 75 26
284 96 35
214 253 40
145 102 32
123 42 3
115 62 23
146 205 17
31 177 20
51 171 6
263 50 40
30 22 -4
165 136 30
178 219 32
190 87 15
161 21 29
238 33 1
297 184 39
69 183 8
177 267 8
24 64 -1
92 54 17
122 270 32
197 97 9
130 191 15
155 1 11
154 226 30
264 220 24
7 90 1
27 151 5
279 116 37
290 224 30
158 232 22
167 299 0
111 82 2
197 237 21
9 113 7
291 293 33
164 6 37
161 176 12
121 253 39
120 242 0
29 130 37
202 130 32
35 86 -1
151 18 3
111 238 25
197 93 4
298 300 -2
211 157 16
279 102 15
70 32 28
276 147 1
232 86 11
178 142 22
170 142 12
116 162 15
98 168 4
236 226 34
187 76 0
140 50 34
236 89 2
170 178 2
119 137 29
272 102 -5
104 32 3
11 189 19
135 288 28
169 96 11
183 275 19
193 33 21
279 143 20
145 37 28
8 46 16
212 109 39
237 206 12
182 213 0
25 21 -3
142 24 39
281 48 40
199 126 32
237 279 1
265 111 7
46 284 34
68 113 34
69 164 26
73 158 0
193 113 31
30 154 10
30 272 15
106 188 -1
269 203 35
13 109 19
233 68 -1
16 22 12
105 217 34
189 90 11
221 173 18
243 1 28
237 158 30
13 169 17
83 283 34
219 37 -1
270 93 21
159 211 7
263 190 33
296 43 2
68 11 28
294 141 23
108 122 6
288 84 9
225 47 5
225 125 -3
21 207 34
200 123 22
18 198 35
146 189 19
265 274 11
238 14 11
272 198 12
277 113 38
283 215 23
233 256 34
181 30 6
131 20 38
167 175 4
177 230 6
252 30 7
100 82 -1
289 29 32
52 215 -4
65 27 13
96 261 18
111 267 11
188 110 37
292 220 27
93 257 -5
85 18 13
37 243 13
132 73 7
199 241 16
73 111 7
189 175 35
100 163 10
32 249 38
135 254 27
58 100 1
145 130 1
121 298 39
226 131 22
99 114 33
280 66 18
288 145 29
82 106 30
160 235 5
76 115 -2
232 27 30
266 145 20
91 38 27
151 213 -1
126 285 13
69 274 20
121 55 -5
62 125 33
118 12 14
234 254 24
146 15 14
190 300 -5
2 249 32
196 29 28
259 107 15
172 93 28
57 138 21
32 202 18
59 252 19
63 76 37
185 189 23
245 98 28
166 146 -5
37 39 13
175 201 17
188 212 13
231 78 34
274 236 6
273 183 20
231 177 34
7 23 22
257 25 38
104 123 27
57 185 33
255 281 34
291 15 36
4 181 26
274 3 -5
80 43 4
266 177 39
201 80 13
216 77 3
224 121 38
173 201 34
163 27 25
58 278 10
154 173 19
163 231 6
130 115 -3
86 25 6
118 23 10
35 275 22
81 147 -4
153 95 8
161 188 5
2 141 21
129 276 7
219 78 -2
2 133 8
88 140 2
261 263 7
55 101 -5
217 227 26
33 256 30
69 230 31
13 273 40
128 40 16
56 146 0
121 106 32
16 245 -5
140 30 31
27 28 30
136 138 24
165 117 16
103 175 39
117 282 28
42 53 7
82 63 11
86 153 14
254 188 30
89 22 14
113 168 15
297 174 28
272 179 25
173 94 6
234 117 7
141 273 40
24 97 26
176 174 24
176 212 2
282 67 29
90 262 5
88 116 22
196 8 4
17 286 10
104 270 -1
193 183 29
245 51 27
195 265 3
145 197 26
39 145 35
255 203 34
264 287 2
65 133 17
293 118 28
206 202 39
165 295 12
28 187 5
41 63 23
155 72 36
114 94 0
177 122 4
38 277 35
213 240 20
121 194 11
138 173 26
77 278 18
269 142 35
150 79 5
136 236 0
118 36 23
203 81 25
45 152 13
236 69 33
295 91 38
37 131 19
6 126 39
231 80 19
121 131 13
27 114 39
291 200 12
297 240 21
158 199 20
168 116 -3
165 246 9
134 118 11
199 144 1
203 155 11
64 293 36
286 281 -1
10 154 11
229 183 -4
208 88 -5
113 34 33
25 26 32
259 110 33
66 118 25
45 133 36
98 230 8
69 291 32
263 123 19
40 157 27
73 87 12
53 49 -2
277 207 13
229 8 37
90 35 37
108 265 -2
93 46 -3
219 290 14
58 87 -1
57 17 8
63 124 15
68 17 0
17 221 36
29 20 32
123 98 10
205 271 35
226 127 11
63 209 28
234 270 30
120 193 0
260 144 -3
239 128 39
172 173 12
33 48 34
266 189 17
228 96 21
19 237 29
10 281 3
215 61 22
254 7 13
9 36 25
236 42 11
269 155 -1
6 19 27
83 237 33
142 221 15
199 46 9
168 230 2
277 201 6
65 224 38
113 122 12
61 93 36
264 115 -3
274 287 7
265 200 2
97 55 -3
138 242 3
13 16 29
203 91 29
4 291 25
280 176 -2
169 27 39
119 283 4
80 101 11
278 16 24
293 15 7
98 170 20
36 121 23
10 80 3
188 235 24
90 5 24
144 169 8
235 44 6
286 287 40
148 80 0
259 264 26
