250 14834
144 160 20
70 42 17
3 134 14
23 217 8
43 221 18
11 25 15
30 92 16
77 228 3
69 160 2
75 221 16
13 171 -2
174 222 5
15 42 17
149 119 10
19 166 19
111 65 18
207 38 16
216 154 -2
164 18 7
160 66 -1
140 154 2
221 29 13
216 176 -1
100 102 4
55 71 -1
16 64 20
99 24 6
103 231 17
183 53 5
16 153 11
189 48 17
73 104 12
31 193 3
67 81 13
100 122 17
35 165 16
19 12 2
127 224 11
168 207 -2
79 3 8
236 207 8
3 31 5
185 96 10
185 137 0
144 24 1
107 178 11
206 196 4
144 147 11
4 226 12
33 76 20
96 55 11
77 139 4
129 198 19
2 115 12
174 145 19
125 224 7
33 67 7
185 222 6
188 8 -1
162 98 20
233 37 7
33 101 6
132 8 16
172 161 14
74 132 11
149 137 8
99 176 17
188 141 2
76 173 19
225 88 17
209 220 14
72 191 15
225 58 1
210 65 17
241 211 -2
175 190 15
151 206 7
121 191 10
204 22 14
222 144 15
101 158 4
84 235 10
158 130 19
212 40 4
234 159 -1
248 198 13
85 227 10
236 67 8
131 221 12
183 12 17
61 193 5
228 10 20
167 199 10
212 250 19
43 100 -2
229 146 0
207 239 2
107 47 19
176 243 3
202 234 7
68 95 20
66 114 16
150 27 10
200 114 5
52 1 0
188 217 18
225 154 9
71 41 1
221 74 5
170 71 7
211 147 18
62 10 16
149 71 14
129 167 14
59 245 18
110 168 16
208 103 8
82 88 9
94 71 9
47 8 4
172 185 11
112 211 15
132 133 8
155 19 -2
122 50 9
209 163 10
196 186 16
120 183 19
21 133 13
8 124 14
9 107 0
153 170 3
74 186 12
154 10 9
184 41 16
202 247 8
240 230 9
132 204 16
93 142 14
88 43 15
166 38 11
167 70 1
214 250 11
26 152 11
126 62 17
207 104 3
83 171 8
146 150 13
138 37 4
171 43 14
91 50 2
94 81 2
216 87 20
2 156 6
248 220 4
44 25 -2
54 81 19
167 44 3
29 100 13
36 80 10
119 233 18
52 81 12
61 87 18
109 104 8
69 144 10
18 203 2
222 56 -1
233 14 14
235 47 4
66 124 12
176 59 7
181 67 18
154 212 1
228 136 16
166 43 14
69 33 6
47 233 -2
228 104 17
140 81 9
206 122 9
25 1 18
192 139 15
49 209 19
218 208 11
63 81 13
143 14 4
3 212 10
211 57 7
212 155 15
28 38 20
22 162 19
70 246 10
154 8 -2
140 9 11
18 235 11
174 90 18
21 198 5
175 12 -1
210 20 14
144 183 0
11 63 20
207 32 -1
136 122 18
8 221 10
154 139 11
236 228 10
6 123 19
81 145 4
108 72 16
26 151 10
247 25 3
54 158 20
224 156 12
185 139 12
111 142 17
27 72 7
223 124 13
243 54 1
178 26 3
74 18 6
232 127 10
164 230 12
238 89 9
28 249 7
40 83 10
221 110 6
165 22 1
33 79 -1
153 190 10
220 43 15
11 130 8
193 28 17
47 138 7
183 229 11
19 181 19
145 1 9
44 171 16
39 145 12
58 230 1
50 119 7
236 59 7
128 240 10
66 236 5
18 140 2
161 221 1
17 135 17
120 15 2
137 107 19
5 95 6
7 35 5
195 202 19
196 131 13
74 244 3
104 112 17
226 63 -1
13 211 -2
244 37 7
59 180 19
18 213 14
42 85 0
95 134 16
132 84 12
138 178 4
79 165 6
34 6 1
178 45 17
48 110 12
234 207 20
33 39 -1
55 70 10
180 176 20
153 137 9
235 198 4
109 217 0
214 150 11
221 33 7
146 129 -1
114 205 15
244 125 4
8 112 2
141 59 -2
143 36 14
210 160 17
129 191 12
232 76 6
168 7 20
142 4 -1
124 152 5
225 188 8
74 139 -2
188 142 4
28 166 12
29 139 18
208 225 3
154 94 11
233 17 14
55 203 0
5 17 20
133 225 10
110 249 12
203 97 2
98 17 13
105 197 2
95 210 7
175 50 0
151 95 7
194 172 1
81 169 2
69 136 -2
5 226 12
78 38 0
62 58 14
70 48 8
121 16 18
223 233 19
207 217 3
167 211 16
223 250 6
243 129 20
20 227 18
109 242 10
1 246 17
99 26 16
37 204 2
98 113 10
9 151 19
151 77 14
171 144 11
103 23 18
232 207 4
78 102 19
143 204 -2
69 159 9
138 46 12
187 79 -2
119 165 9
25 244 1
152 178 6
145 12 12
13 117 18
36 222 19
50 87 9
69 73 6
55 24 6
140 224 20
201 43 0
191 226 0
53 235 15
35 168 18
106 114 -1
93 195 -2
141 96 11
19 34 3
92 223 15
246 144 11
83 111 8
26 128 13
174 137 3
73 174 15
24 137 12
171 177 16
19 72 4
238 209 10
168 26 16
247 204 4
39 203 2
42 240 9
76 137 0
91 14 8
195 131 17
220 225 17
221 231 7
104 9 6
151 50 12
246 165 13
227 71 -2
58 64 11
142 1 11
220 89 7
241 146 7
177 24 5
238 82 6
244 181 -1
66 182 4
155 223 11
46 245 3
67 163 -1
206 134 0
249 127 12
205 79 -1
52 190 20
176 33 6
139 11 8
51 171 18
69 199 19
228 211 12
184 236 20
25 133 15
186 184 18
148 141 9
250 102 18
169 226 0
220 22 18
217 224 17
109 95 16
231 139 0
211 7 12
210 150 10
64 127 14
95 165 14
53 87 9
26 25 17
86 240 13
118 161 8
236 183 8
164 182 12
246 200 15
74 152 11
16 84 8
241 204 1
90 203 17
16 54 8
236 122 5
129 71 7
158 227 1
95 55 3
165 215 5
134 201 18
130 173 10
70 216 7
39 218 3
95 76 19
74 100 18
95 120 17
187 42 6
44 80 20
168 19 14
101 92 0
176 1 20
134 14 20
242 36 13
235 61 15
51 110 13
44 38 -2
110 66 1
194 159 11
234 102 2
91 238 0
38 9 16
17 50 0
24 4 15
53 224 -1
175 156 3
14 8 2
234 200 9
135 157 14
78 203 7
111 67 14
210 168 12
138 106 19
142 192 10
132 128 15
17 234 0
144 78 16
166 85 8
201 196 -1
37 54 13
24 48 17
207 108 3
27 188 17
54 71 7
69 246 3
119 187 7
248 32 0
85 153 1
6 244 19
110 91 4
144 26 20
158 201 9
97 39 -2
172 120 7
150 3 16
19 223 12
13 240 7
65 163 13
173 237 13
23 58 15
91 75 1
185 78 2
49 228 -2
239 177 14
173 99 11
223 33 6
194 14 6
188 227 -2
98 161 -2
166 229 11
67 187 7
141 45 11
249 239 9
163 109 19
45 91 3
224 184 12
172 165 -1
85 240 1
78 98 8
59 147 17
170 193 20
248 147 6
167 222 6
15 64 4
56 5 7
176 43 14
111 206 4
148 222 11
242 98 -2
191 227 2
203 107 7
50 54 7
90 123 9
44 179 4
17 204 16
225 230 8
109 54 10
70 212 19
177 167 3
28 228 2
69 148 5
151 144 11
4 108 14
58 69 3
190 122 1
63 211 15
226 178 7
155 77 10
115 70 16
68 180 14
184 36 7
234 241 -1
244 208 9
198 19 14
168 244 16
201 152 0
238 187 4
127 72 6
219 22 11
57 134 19
38 203 7
240 163 11
249 117 17
102 192 9
56 216 6
117 237 20
55 201 12
133 244 5
194 84 8
69 115 10
231 101 8
9 72 19
4 54 6
17 60 19
221 230 19
215 49 19
110 21 17
111 94 20
221 188 18
212 100 4
57 156 5
43 229 0
147 220 15
215 88 4
206 10 8
85 53 16
207 72 -1
88 96 8
208 170 14
231 94 3
161 145 17
96 66 5
232 31 5
19 191 11
17 169 -2
5 248 12
196 162 15
85 93 4
207 205 17
13 201 17
221 246 16
65 236 -2
238 229 13
183 45 9
20 65 18
150 231 2
212 226 11
231 209 -2
71 34 9
71 211 -2
12 10 10
132 40 8
199 83 12
200 86 19
128 9 -1
185 154 12
76 144 7
110 149 5
189 211 6
88 196 17
164 10 15
66 201 1
190 85 2
107 92 18
59 122 1
132 225 6
24 163 0
36 40 19
10 219 4
250 79 8
37 176 16
6 246 12
125 185 10
111 39 0
173 143 -2
194 240 14
214 170 16
245 193 4
45 23 13
211 219 14
235 205 10
42 150 -2
77 198 11
53 149 3
165 45 4
244 30 15
62 111 1
221 159 14
250 231 20
10 33 6
215 166 -2
64 74 3
143 23 4
8 149 14
180 78 3
199 233 16
20 126 12
217 176 -2
215 10 13
139 72 20
183 218 17
248 85 20
199 29 5
126 180 12
80 27 12
167 220 10
94 98 -2
50 52 12
127 161 11
197 95 12
49 142 2
54 85 18
205 17 5
178 202 15
72 233 6
223 170 19
138 128 13
142 76 3
55 225 19
151 212 18
105 87 0
93 173 5
147 172 10
161 234 20
170 4 11
211 221 7
152 181 15
189 52 6
180 248 15
81 53 18
214 52 15
188 186 3
227 3 2
32 1 5
65 226 8
91 99 -1
179 109 6
119 240 15
209 218 5
151 38 17
221 101 5
146 21 14
84 2 -1
239 227 13
215 132 1
136 233 16
227 93 -2
231 182 0
156 222 6
23 157 5
167 97 1
107 191 17
122 147 13
120 216 -2
138 21 16
243 141 14
230 172 12
131 189 8
194 110 8
32 140 7
39 137 -1
248 161 18
41 96 5
230 34 8
247 164 3
81 82 12
63 150 2
21 161 3
7 161 15
207 202 9
35 104 -1
123 147 14
131 64 -2
169 162 0
211 81 12
190 107 10
60 226 10
142 75 7
162 190 -2
