5000 15000
3771 3894 -11
1558 312 -12
2581 4121 9
4753 1584 2
3951 4699 7
4995 3645 -5
4454 2443 0
3597 4806 -11
3141 659 17
3057 4584 19
161 41 -8
1613 3853 -14
695 4182 -3
4806 2898 -5
4705 287 -3
2113 4385 -4
478 4256 11
317 470 7
3807 4027 -18
2352 4566 13
1535 2103 -17
4503 3359 11
2269 574 -5
1642 4587 -15
2695 821 -15
1741 768 -16
3460 988 -20
3213 2181 20
1105 1250 1
1113 1592 -6
2209 3702 -7
3942 3636 8
3641 948 -19
1417 3932 17
553 3578 -1
4932 2508 12
3072 2347 15
541 4092 -19
297 3422 -16
2853 2903 3
2285 815 -1
990 3700 12
3661 498 -13
3157 2852 -11
2611 4707 -12
1 253 -17
3193 1905 -14
2727 889 -16
1842 447 -17
1759 1594 -9
1473 882 19
1427 990 11
1726 1475 -7
941 2630 -7
4781 2686 2
4063 149 20
4637 3896 -3
3580 2284 12
4524 3537 12
2387 1097 5
1321 3115 14
2155 4957 -14
3844 2714 -2
457 4012 8
3579 724 -7
1968 3682 7
4312 4974 13
4611 1894 4
4909 2224 -5
3903 4070 11
4202 57 11
4238 3156 -13
3475 1475 -7
2929 4497 -14
972 1029 13
159 3254 -12
4295 2838 -11
3334 943 10
4343 1256 -14
535 2815 -3
737 4414 -18
3861 1250 -2
582 2887 -1
409 1668 13
1206 335 2
3077 2047 5
2132 1866 13
3182 196 11
4076 3701 16
710 3484 9
3367 3390 -14
3229 4161 -6
1110 4596 3
2468 4601 2
4803 537 4
513 177 7
761 1922 -8
242 4790 19
672 523 0
169 25 -2
838 77 4
3420 2730 -13
2812 4020 5
2027 2192 -12
3691 962 14
499 899 6
2906 1779 4
199 2730 13
3745 1172 18
1638 123 -3
3449 3568 -17
354 618 -4
1347 1038 7
2472 2138 3
3238 4359 15
2695 1552 -3
2988 3516 -7
3607 4530 9
1010 4745 -6
2453 4924 -18
339 3521 -8
2296 1323 11
1381 3922 15
1290 2686 -17
2637 2350 6
4738 3845 14
3013 4300 4
2451 432 0
1256 4454 0
3677 1303 16
3122 3265 -18
384 1133 2
4135 2395 10
3368 2834 -5
2874 3846 10
1367 3725 -20
1967 4905 -8
2776 1680 -20
2466 3049 8
2777 3737 19
2548 4966 -19
4793 1363 -11
1271 2585 -4
576 202 18
1253 4279 -7
4685 4676 -11
3763 2710 3
1781 322 18
1348 838 18
2314 3399 20
2130 4023 -11
4878 2262 -12
1986 4579 -6
1071 3454 10
443 2480 15
1952 1321 -4
4980 2668 15
2489 2344 -18
4086 4498 -11
1168 4384 12
714 2347 -2
1083 974 11
3258 1255 -19
2068 2003 -5
1081 2711 16
2673 4455 9
2567 3256 13
3681 1660 -18
