5000 15000
4212 3266 4
3281 302 14
2959 4780 4
4222 1062 1
4062 3371 19
3272 3534 19
2714 3996 6
3764 991 17
229 2071 8
1194 3858 10
1197 4375 12
160 1288 2
995 3045 12
4260 2749 9
3996 1683 9
564 2803 10
3246 330 18
3145 4815 6
3005 1170 2
4827 3273 19
4103 4156 6
2115 311 9
4279 3697 10
240 3961 3
1900 1628 17
1989 4520 17
4528 3117 12
4289 1763 18
331 2439 19
4010 4560 4
246 3922 13
4330 1993 11
344 1764 13
1414 3594 19
4163 50 10
4398 425 17
13 1322 1
1429 1039 7
1202 3874 20
4739 4818 4
4003 553 13
1936 377 7
476 3946 19
4729 758 15
3359 4284 1
4986 3633 12
625 453 18
3187 541 13
3314 2219 19
1987 2068 15
3680 762 9
4796 3333 20
1404 726 1
852 4364 17
648 3553 5
2630 2705 17
493 2975 3
4437 1845 10
4609 1452 8
4804 2157 4
2675 1335 4
4907 1770 18
2048 4603 15
1669 3820 5
2611 1170 2
2725 3685 4
2308 3070 11
4794 4332 9
3689 1236 1
2198 1644 9
4419 2179 10
3469 4456 19
2377 1758 15
2047 1816 13
4243 2302 18
316 4328 2
4278 662 16
4785 2921 20
1910 322 2
629 383 5
2310 1831 18
3703 4527 9
370 3425 3
1113 2414 10
640 1186 13
214 414 13
3319 4702 10
37 3952 4
465 1471 12
2135 3434 13
3870 2298 7
2040 4007 5
738 1711 1
1900 3360 16
71 3707 17
3266 3415 20
3273 4298 20
2951 1999 11
473 1494 2
3114 1968 14
251 2126 20
1536 4765 11
3644 2276 16
816 1550 13
2033 2583 5
4361 3542 6
4000 4672 8
791 2668 2
3735 1685 14
1783 3521 6
3352 1800 12
2983 1776 8
2911 1796 13
34 3586 13
1592 3453 11
2555 648 12
2975 3054 7
471 3414 9
434 2078 12
2829 1253 6
2694 3668 20
4291 903 2
4387 1755 20
3835 1340 8
822 1010 12
4266 40 12
56 1102 17
4666 753 14
2249 841 14
749 1417 8
4594 4532 4
1112 2960 15
1828 772 4
1768 1420 13
1859 151 5
2475 1818 4
3426 4066 13
1663 2242 3
1994 1260 18
3372 1126 20
4435 4625 10
3425 4407 18
935 3490 12
4079 2020 11
1653 4467 18
237 2287 13
1069 3031 14
4976 4527 6
2485 4282 17
3521 4586 15
840 4970 1
918 3378 10
4556 2521 11
1706 1816 14
3188 1271 16
650 2030 14
4754 731 14
903 763 9
1797 1070 11
4626 3348 10
3031 2885 11
109 4936 18
4947 528 12
2971 1545 8
1912 990 3
2790 4431 4
2424 2421 14
2970 1693 1
11 1916 19
3837 989 2
2208 3725 14
767 4662 3
2493 442 19
3815 2652 7
3997 557 5
3705 4296 1
2297 2532 8
4134 1350 7
360 3189 16
3335 426 9
3092 3128 17
3426 2075 3
4545 2150 10
1820 4399 19
3338 1480 9
687 1698 4
1687 1204 7
2264 1799 15
2379 2484 20
3813 4875 3
4914 1703 3
2526 4592 3
4915 4669 4
2587 3453 12
578 4969 7
3578 3733 2
2643 3949 5
1922 2396 17
306 4119 11
425 2115 20
2699 2476 4
3417 3527 15
1255 751 16
4221 1644 6
2960 4824 10
4662 2182 1
3105 163 3
816 3129 5
2143 3727 4
3130 4841 20
1565 4955 2
2796 2186 20
1618 4007 5
4188 2572 14
2858 1081 5
1874 4333 13
3583 2720 17
4118 381 9
4600 2363 13
4245 3568 1
3462 1979 8
842 471 5
608 2519 10
4474 430 3
4965 3034 16
2500 1684 6
1691 3250 3
4250 2340 4
4967 4519 15
3813 2879 9
335 4353 14
2804 4126 19
3705 674 16
4786 3719 15
1371 4454 2
812 2034 17
4585 704 2
3619 4751 2
4999 2339 20
2676 3885 14
3585 4193 9
3200 3204 13
875 2568 6
4150 1017 19
2520 684 4
1777 3859 16
880 4317 9
249 3397 3
49 3030 8
2469 2069 20
1813 2993 9
4551 2657 12
4192 3211 14
2286 1554 11
1982 107 6
2812 3618 1
872 4778 6
4626 4604 2
1395 866 19
4952 2750 10
1468 967 20
4950 4897 19
4354 799 6
1432 1656 16
2129 2810 8
4568 978 2
1224 3510 4
1801 4384 9
605 751 1
4716 3905 10
3754 4282 17
2832 3316 13
899 2915 20
3871 128 4
448 648 9
1615 4040 18
1783 2072 19
2339 3991 15
3773 2772 18
4119 121 16
1769 3621 2
13 2772 5
2734 3778 5
1626 882 19
4054 1304 9
4267 441 6
3710 539 7
3011 1690 14
892 3930 13
4526 2063 1
484 2758 20
4408 3503 2
2104 2108 4
1921 790 19
4341 4470 7
4046 141 15
550 1379 5
2031 104 10
1054 3780 7
3143 20 12
3260 1085 17
1816 2756 10
3797 1364 13
2733 139 20
4596 2545 4
3540 336 11
3840 1932 7
4464 3217 17
989 2826 8
3576 1793 6
976 3553 12
4393 1612 18
3680 2570 12
2984 1657 2
2787 153 18
1501 1158 2
4750 361 12
568 2346 5
4535 1016 12
3514 4103 5
1076 3255 12
3971 86 19
2536 1405 14
4945 2725 7
785 928 8
4202 1434 9
337 3328 15
3149 568 10
1480 1622 5
4143 3932 12
3452 2225 10
605 508 16
2962 4085 18
3759 2763 19
2047 2416 19
2704 2339 19
3645 3247 19
592 1175 1
4183 2102 7
2613 3203 15
2390 4886 4
1544 323 1
2163 4570 3
3449 3460 6
818 1753 9
3456 3206 5
3400 581 12
3574 3285 7
4153 629 18
1922 184 18
1529 4455 14
879 4446 9
43 1648 13
2704 1457 1
4161 4141 10
1796 4245 3
4637 4692 17
4057 4025 16
3366 3924 6
2516 4891 11
4206 2984 18
1293 1019 4
3696 1041 16
3942 1942 1
3907 3055 20
4930 3309 6
2590 4152 8
6 1250 12
3532 2258 14
1481 4030 16
1913 2409 19
2672 2379 18
4029 4749 8
2035 3623 3
267 4000 18
4208 1033 8
4404 2052 8
2196 458 5
1146 1454 11
2947 785 2
1399 3544 15
4830 4186 12
2949 4190 18
1048 466 15
4189 4863 8
1774 3631 20
2918 51 20
1994 425 8
4449 3190 10
1921 3457 5
2644 2353 5
4076 1987 13
2800 4321 3
4083 4651 19
1982 705 20
2632 1451 9
1429 1744 9
4529 4798 7
886 4727 9
4835 3730 13
2288 3462 17
3312 4445 8
2832 4435 4
3606 3878 10
3855 2022 4
1953 2820 4
3366 2283 3
1062 1251 4
4887 4426 15
2102 2035 14
1686 482 8
303 4583 20
2246 3612 7
3591 2358 9
3513 1185 16
3801 1035 1
219 1497 10
4305 1258 3
4798 4813 8
3152 4095 6
112 4587 5
4451 126 11
3488 176 13
374 1987 5
1740 2007 11
30 4540 10
1209 768 6
4163 2835 3
1443 2622 4
3089 2852 8
2656 4211 2
836 4013 4
3085 1894 19
598 853 5
4591 4960 20
1318 4143 6
1830 1023 2
713 4878 1
3819 1734 16
3372 3 3
3024 1360 14
2861 2343 6
2620 2069 1
3438 2553 2
4915 486 18
2894 225 6
2472 1601 11
4112 4702 10
691 3344 20
3487 59 17
4621 3853 19
192 4925 9
4512 2426 11
1692 2448 6
239 1590 7
4818 3337 2
2635 764 13
1600 2001 14
1499 2281 1
4000 4536 15
4587 1092 6
3993 1687 13
1047 3403 20
3961 1469 7
1729 3339 18
4688 4766 5
4310 1215 19
3603 3133 3
1412 3977 13
2879 3604 18
4101 2644 15
4337 2621 17
2687 4868 5
147 15 11
4353 3735 7
1791 1788 14
849 2920 7
4129 2541 20
1311 4674 6
858 4562 1
1803 3415 6
4527 832 18
3279 782 12
4914 4526 4
1407 738 4
3637 4368 6
2396 4201 10
3108 4958 13
332 707 9
3927 4827 6
1683 3045 14
2417 1301 6
295 1691 6
3254 4873 4
387 1038 10
4875 4400 12
4199 4591 11
1224 3565 1
4279 212 19
1330 2096 14
4963 2271 4
2850 2973 5
82 987 19
3948 3443 9
1331 4759 4
951 965 17
3128 3277 19
2868 924 18
1145 281 16
3359 2075 3
3269 2068 18
4746 3234 18
220 1168 14
1855 273 8
1574 3432 14
1095 2904 19
1443 1939 10
2911 675 17
1878 1921 14
402 4630 18
665 4900 14
2649 4764 2
