5000 15000
1205 3081 9
4214 2722 14
3806 4244 15
4932 4769 12
3054 2554 16
3261 3370 6
2113 3155 7
766 4030 16
1981 2828 16
3496 2467 8
830 194 5
15 4121 16
2527 586 5
3276 2827 8
1720 3248 10
950 2140 15
2755 3449 19
1098 4875 6
4289 2869 19
3177 2645 11
3552 4795 13
2516 2508 13
8 1156 2
4912 1452 16
3625 257 11
2169 1537 7
2204 4414 12
2235 2756 6
2218 2018 2
4900 1144 9
40 3333 14
4190 3135 5
4620 1703 7
3443 257 17
3954 992 16
4686 266 7
1851 696 4
2799 672 13
2196 4950 8
2546 3385 3
1428 4940 6
3620 2317 12
1601 1469 17
109 3496 5
4366 868 14
1465 3210 5
4665 2966 5
1002 3016 18
3929 2577 2
1903 3639 12
1676 3717 19
978 296 16
2427 4903 14
2368 4296 17
3508 1699 1
4793 4409 15
3852 947 11
3811 2150 3
2280 4261 17
3356 455 11
199 1096 12
463 3556 18
2315 2060 15
1564 2028 11
1303 2159 10
1193 3375 7
3334 121 4
1026 3903 4
3801 4959 9
1003 668 14
4704 1606 13
690 2528 20
4155 3119 6
3223 444 15
3922 4667 1
589 1675 3
3454 1660 3
4531 4113 9
4748 260 5
50 669 16
3419 623 18
4587 619 19
514 4052 18
1183 2033 15
3981 3829 11
4224 1908 9
1652 3595 11
4014 4268 16
2848 399 20
190 416 7
1487 435 13
4587 816 14
2402 2732 18
3904 3711 19
2643 2644 7
4119 1284 17
1226 184 10
2882 4817 7
4179 1522 17
2292 786 5
4717 4258 10
2884 1550 1
2085 969 11
1235 4634 16
207 4299 4
2186 218 20
4606 1220 7
4967 4683 9
4116 476 5
3978 211 19
988 3711 18
2785 49 12
4638 485 18
3567 4506 4
2648 4604 12
3183 3992 3
3119 2719 1
1664 2280 19
2315 894 8
4306 3589 8
4630 4470 7
3531 4534 9
646 2356 16
1458 1176 3
794 1191 3
2929 633 5
1983 1727 13
3319 402 5
165 1757 19
4762 1679 19
166 467 10
4166 2166 13
2217 3075 11
1913 916 14
3191 2379 9
3576 4230 16
3875 4767 8
2356 96 10
4781 3566 6
3620 3412 15
3733 4943 16
3164 2112 17
4152 3324 6
689 1224 18
3435 1564 15
4530 2881 1
3260 2533 20
1303 17 11
3885 3746 8
2811 1013 15
4250 4198 5
4943 647 19
3206 1226 5
1962 4559 18
2925 430 2
3357 1496 2
4368 2738 6
4122 2941 18
477 44 16
834 1643 9
4471 4643 5
4991 1777 12
3840 2242 9
3727 3989 9
3791 2895 11
4498 3501 14
3222 7 3
1061 591 6
900 1876 2
566 4189 20
3217 1712 7
3940 1422 12
2499 4941 2
106 1616 16
52 3420 11
2419 3691 12
3749 3738 4
2267 2707 18
3779 1161 2
4835 1 13
3288 1534 6
1508 2523 6
4191 4830 18
4743 3593 10
268 2709 10
264 4192 20
289 4696 14
2382 1740 12
1661 616 2
2810 429 13
4146 3250 6
1068 1753 14
3235 1859 3
1572 2468 14
101 2996 1
2649 2464 7
2995 3792 16
1808 2121 19
4273 2456 19
3530 2633 2
2577 4641 14
4602 4268 8
3317 2271 19
4670 2637 13
4528 2436 10
2650 1948 18
4093 1179 4
1500 3727 2
1977 2297 6
2688 2372 15
1656 4384 17
3951 1589 11
1784 1454 12
4816 3528 14
56 718 3
2030 796 14
774 4478 11
146 365 3
3257 1224 8
657 1409 16
443 4739 16
1134 24 6
4213 3310 18
4088 3042 19
4877 4208 6
1005 1384 6
790 348 10
597 1630 2
1298 429 3
4789 4496 8
4028 4812 14
52 1596 15
1507 4524 20
1959 4000 14
1121 1227 13
69 4985 5
4408 3124 6
3168 2734 10
3045 1051 14
3169 4368 2
1119 1242 2
3690 1238 17
360 1369 4
