250 15834
97 109 16
248 235 16
209 147 8
195 76 20
67 25 11
125 160 12
174 11 5
172 179 8
157 65 10
87 79 16
182 202 19
124 168 18
23 246 8
149 73 18
248 177 15
184 247 18
95 222 15
191 79 0
58 218 20
72 228 7
135 230 10
235 141 16
190 66 10
232 156 18
68 44 14
231 64 12
6 59 17
104 17 13
112 84 19
117 135 9
85 35 13
68 105 5
81 146 16
31 200 15
44 123 17
238 177 15
74 171 1
120 142 1
130 11 11
234 129 12
164 248 7
153 15 6
225 26 6
173 157 6
51 241 16
158 178 12
198 117 17
77 103 17
197 143 13
188 21 8
247 1 1
83 191 3
222 148 13
221 199 2
22 145 20
239 134 13
64 145 10
207 19 10
217 240 6
249 216 1
182 178 13
140 5 2
128 111 2
199 206 12
183 24 9
133 189 7
248 163 18
233 183 14
64 107 14
120 57 2
205 247 12
161 71 4
40 126 6
228 113 15
13 47 0
236 59 0
48 59 15
240 199 -1
209 118 3
182 101 15
119 160 10
29 1 8
173 48 17
200 91 16
109 114 0
48 218 13
25 172 5
143 138 9
96 121 18
201 76 10
26 25 11
225 3 17
149 221 15
80 221 4
124 209 2
221 203 8
145 108 20
73 135 17
238 21 16
228 2 13
146 182 8
181 46 7
41 237 18
188 134 2
173 181 11
228 209 3
206 159 0
213 30 5
191 185 0
228 224 12
27 80 17
246 183 11
132 216 1
194 108 12
117 215 19
196 246 5
16 13 7
46 230 16
244 187 13
225 113 20
51 82 19
105 14 18
70 4 7
6 181 5
216 126 11
129 55 2
166 141 10
219 14 18
153 123 11
240 139 9
156 171 16
248 106 15
111 194 10
92 28 5
88 210 12
61 194 14
195 232 11
247 40 6
118 124 -2
56 41 14
74 20 19
143 241 9
133 117 5
28 59 -1
103 207 7
80 148 4
184 59 16
213 153 7
111 186 8
86 44 20
225 72 17
98 162 18
185 80 -1
74 22 7
162 43 0
112 98 1
84 176 13
98 250 -2
173 210 18
109 105 7
63 210 6
116 240 -2
140 61 9
108 244 12
164 233 14
75 2 19
80 73 10
102 106 15
182 200 -2
103 145 9
115 151 4
105 176 -2
161 10 13
76 37 2
43 134 10
84 68 18
165 168 19
53 96 3
122 84 12
77 97 19
60 230 -1
50 229 14
129 225 4
106 18 19
131 72 12
59 3 3
152 220 9
131 89 2
208 237 13
23 195 3
176 242 11
48 14 2
27 104 0
139 127 3
160 196 12
71 132 15
48 96 9
107 219 10
230 177 8
48 52 -1
110 16 18
38 9 5
170 92 13
95 239 9
176 175 3
117 148 16
19 200 14
76 36 14
190 152 10
18 203 18
165 29 17
62 2 3
93 24 10
94 57 19
204 187 4
64 73 12
95 116 18
10 85 11
97 222 11
74 4 19
216 246 16
135 110 12
99 76 5
96 167 7
63 240 19
84 46 4
239 102 4
77 107 4
190 139 2
8 211 -2
31 199 8
69 87 -1
47 214 19
27 100 2
24 175 0
46 40 2
50 190 14
141 159 13
80 89 6
225 66 0
109 44 11
129 51 12
108 240 2
31 102 4
100 49 3
15 133 13
223 202 16
199 171 20
212 71 0
145 207 5
72 3 11
228 230 17
39 208 9
202 199 7
201 224 -2
180 142 5
169 38 1
215 11 19
162 177 0
210 183 -2
202 204 2
27 222 0
29 168 16
44 151 15
112 47 7
34 14 8
223 176 18
31 91 17
36 155 17
20 197 4
188 73 20
221 37 4
83 176 18
35 73 8
34 35 1
179 181 15
20 221 11
28 192 17
197 100 15
35 13 0
31 48 4
148 84 -1
109 249 6
23 199 16
97 242 0
25 92 5
204 165 -2
89 139 -2
102 213 17
34 132 2
172 231 19
159 204 5
54 113 7
182 118 11
175 244 1
97 187 15
246 27 9
101 116 1
107 83 16
130 105 10
166 206 18
23 68 -1
54 1 7
130 21 11
86 20 15
42 54 12
45 143 17
44 69 12
155 191 3
147 173 18
20 72 4
173 94 0
73 46 16
95 182 16
216 192 14
9 70 1
74 178 1
9 108 1
96 180 1
234 202 16
141 214 3
42 93 0
5 49 0
81 129 19
18 172 11
21 115 14
193 92 19
48 47 14
86 137 13
5 95 10
83 182 0
99 159 10
48 247 19
167 178 7
238 65 16
214 162 2
61 34 9
114 161 8
217 231 11
217 110 8
140 116 13
67 106 6
1 227 10
28 51 19
198 100 -1
243 219 0
47 208 19
245 227 20
98 211 2
125 126 11
219 43 15
47 29 13
19 67 6
38 203 -1
28 195 16
197 3 3
20 233 20
22 206 19
103 226 10
182 247 0
212 143 19
77 153 12
93 205 17
203 26 3
237 96 6
194 188 9
225 67 -1
118 201 6
132 107 17
220 19 16
155 198 19
134 141 11
53 78 17
64 122 12
119 197 11
140 4 4
232 18 14
106 45 10
149 78 7
90 57 20
155 18 10
166 85 16
70 100 19
168 25 20
