250 16000
216 198 4
226 151 5
8 102 11
97 146 13
60 28 17
5 169 7
203 164 -1
47 34 19
82 40 10
133 19 -1
124 13 18
61 96 7
188 218 4
152 65 8
128 185 -1
206 146 7
120 75 16
209 167 9
2 142 17
184 84 16
187 112 4
162 121 2
135 133 11
87 221 10
197 105 4
193 238 10
61 88 2
95 233 11
93 200 8
183 96 2
208 229 16
185 72 6
228 197 4
238 210 11
26 235 3
105 246 4
179 174 16
85 98 18
99 231 10
20 186 -1
151 194 8
35 138 12
44 33 8
195 249 9
111 134 19
82 93 19
238 92 5
245 98 13
85 86 8
157 140 11
73 57 2
64 242 12
49 8 7
124 115 10
93 95 3
229 81 4
37 62 15
209 216 -2
12 181 7
117 72 2
236 228 3
81 230 16
171 199 5
73 28 13
125 136 0
14 76 14
145 240 7
140 213 15
67 195 4
4 216 -1
205 25 17
119 191 3
201 129 18
127 157 -2
32 185 16
149 56 5
29 82 3
122 51 16
12 28 12
64 248 20
80 59 4
43 234 6
5 106 3
98 57 12
155 194 3
182 18 5
249 80 1
98 152 9
215 187 2
227 196 2
10 103 3
114 163 -1
138 15 2
9 142 10
88 233 13
218 106 2
130 138 2
163 72 15
32 103 3
2 58 20
107 77 19
34 158 19
103 82 -2
151 20 15
169 45 6
135 88 17
187 43 9
86 171 16
151 52 9
41 124 0
102 245 10
117 240 -1
48 47 11
140 39 18
97 156 10
57 163 6
208 65 10
37 233 17
97 203 4
58 108 -1
122 197 14
19 136 12
78 237 7
154 215 12
58 71 12
27 206 8
235 200 17
81 79 3
66 3 2
107 73 15
49 36 9
214 90 18
20 205 11
210 70 6
133 26 5
36 182 9
3 194 16
28 165 13
194 120 -1
121 173 2
131 100 18
86 94 13
157 34 20
211 173 19
46 122 -2
33 121 14
51 204 0
216 201 12
132 154 14
242 208 1
64 4 11
50 28 6
205 141 17
224 105 8
100 95 2
31 240 15
60 59 20
74 102 -1
76 173 9
87 38 6
178 44 4
10 28 12
183 216 0
104 10 15
155 146 10
193 96 15
207 201 12
234 195 3
145 85 6
134 213 16
22 145 10
29 115 3
162 165 7
78 175 -2
20 90 20
126 94 7
210 209 4
66 125 13
241 248 1
72 104 7
8 155 7
82 120 17
130 61 14
204 76 19
248 131 12
215 1 13
143 93 10
245 135 11
180 220 19
1 209 2
174 69 5
43 84 8
4 174 8
146 134 0
27 127 12
92 124 10
43 143 5
5 92 4
188 180 0
110 11 3
67 21 -1
64 70 2
7 101 18
177 238 9
217 204 17
17 193 0
242 142 18
146 82 18
194 89 6
131 106 3
213 135 16
89 88 5
161 210 14
176 154 13
214 121 1
31 220 9
89 44 19
131 39 5
26 53 4
35 127 -2
233 165 8
95 78 18
230 208 16
131 244 10
31 3 20
226 24 2
99 86 9
102 22 11
169 21 0
146 52 7
225 210 4
77 148 9
95 86 2
21 111 7
81 63 12
24 139 6
233 189 2
240 143 20
16 108 16
186 214 17
91 193 17
72 23 -1
126 175 14
123 220 19
194 212 9
13 222 14
81 64 11
220 25 4
87 146 17
101 130 16
242 173 10
176 32 16
2 190 18
29 86 17
157 114 2
155 27 -2
239 100 12
231 96 0
53 130 8
167 123 17
62 165 1
235 134 8
55 64 1
126 124 7
129 150 17
2 211 16
238 188 11
221 23 17
21 173 13
193 87 20
88 31 12
102 119 4
166 167 5
116 119 6
39 108 -1
185 246 -1
13 40 -2
25 245 3
90 17 12
32 109 15
226 83 0
58 137 7
91 103 4
132 58 10
24 74 16
47 194 13
4 124 5
36 118 13
71 37 -2
37 236 0
128 164 13
215 127 13
1 231 9
130 244 7
102 50 6
93 235 14
246 11 9
233 127 12
1 26 0
241 169 -1
106 236 -2
44 235 14
26 40 11
168 169 8
199 184 17
69 96 8
163 96 7
191 187 2
65 217 20
158 199 10
202 226 19
123 7 5
7 180 2
28 89 0
55 211 17
15 80 1
106 139 10
81 97 12
139 218 18
117 41 7
108 48 -1
123 32 12
133 1 17
184 156 13
89 135 20
50 105 14
171 179 20
88 142 6
236 250 13
41 170 12
30 202 -2
133 121 3
61 200 18
132 241 17
56 10 17
17 33 8
235 52 8
155 175 18
129 24 6
61 37 15
190 22 7
245 168 6
221 90 6
51 10 17
175 230 9
237 220 13
29 231 -1
153 243 10
5 64 5
113 18 2
152 137 1
124 211 -2
246 49 17
93 72 20
53 7 6
215 123 7
221 179 3
210 6 19
26 45 7
75 128 10
137 153 2
87 14 13
24 80 5
120 95 8
158 184 4
146 136 9
101 94 -1
238 215 20
246 183 -2
13 198 19
131 107 10
107 242 5
205 195 -2
183 212 15
204 46 4
170 96 17
160 18 -2
215 179 8
11 167 7
219 127 13
88 125 -1
203 148 11
195 232 6
35 90 7
73 202 14
181 21 5
64 157 -1
242 44 0
168 147 18
125 196 6
30 91 14
247 107 -1
76 84 -2
45 147 15
148 70 8
114 218 6
249 68 8
6 72 13
129 178 13
144 44 10
153 76 -1
136 20 2
94 210 0
17 236 6
240 52 7
117 5 16
214 9 8
187 96 20
250 129 14
208 159 0
27 124 17
61 234 4
13 83 3
41 193 9
226 247 4
88 40 11
76 196 5
48 83 17
106 145 11
12 20 20
140 11 16
62 57 4
220 99 9
184 103 10
249 197 0
81 148 9
220 65 19
7 148 15
204 164 0
119 182 20
46 226 1
43 199 7
190 25 10
191 71 7
181 14 6
122 228 7
48 191 4
46 132 17
51 196 3
220 107 -2
170 99 16
104 151 18
197 175 10
111 106 4
121 225 14
226 59 15
208 151 20
192 148 12
230 133 1
247 33 11
164 57 19
185 170 0
146 148 6
158 189 13
125 93 2
228 220 14
244 214 18
134 6 1
202 89 6
233 100 17
168 71 9
184 183 7
196 176 2
222 157 2
19 12 3
233 175 6
87 199 -1
59 33 14
74 107 4
154 213 5
84 248 2
165 52 7
74 159 16
6 116 1
1 242 2
4 106 16
156 238 15
54 14 16
172 97 7
67 208 13
25 81 -1
106 55 13
178 29 17
64 158 18
207 78 7
79 117 3
206 45 15
30 158 12
38 181 12
66 24 10
82 112 4
49 180 0
125 185 7
23 206 5
73 24 4
214 199 19
146 74 16
82 10 13
246 248 6
134 3 15
245 228 18
1 95 -1
204 181 4
179 216 13
123 2 18
221 12 1
205 16 10
21 70 15
216 102 14
225 12 5
44 32 8
147 32 13
195 188 -1
110 52 10
61 2 20
222 183 17
111 208 8
118 210 5
148 212 -1
231 10 20
166 131 11
56 130 18
72 86 12
80 116 5
78 10 11
221 41 7
58 217 3
123 69 5
36 79 16
136 197 4
16 7 7
13 187 5
199 211 9
227 48 18
54 210 12
135 54 20
47 159 9
103 17 7
162 21 4
1 110 2
202 45 11
216 21 1
95 213 16
78 193 7
167 87 5
215 106 19
182 210 8
236 173 19
11 97 16
167 31 -1
144 5 8
155 87 -1
71 209 1
194 225 15
188 244 2
24 221 2
56 155 -1
165 23 13
38 2 15
234 138 16
201 224 16
207 228 2
141 135 5
49 199 5
88 166 16
90 117 19
2 161 3
192 149 15
86 174 14
26 184 2
136 184 10
146 31 10
234 91 16
65 129 1
247 49 10
14 90 19
66 171 11
18 148 12
236 76 14
238 185 -1
43 150 19
183 197 9
6 106 12
105 146 19
142 75 16
225 139 8
75 249 17
189 23 0
193 104 6
161 239 8
175 80 8
177 178 0
16 132 7
19 184 19
249 76 5
26 89 16
66 168 18
237 101 12
162 68 0
196 158 2
53 193 2
154 197 3
143 92 2
75 247 4
29 70 12
60 18 0
204 218 -2
128 236 -2
154 19 -2
7 91 2
202 139 19
248 111 14
86 74 9
136 105 18
187 32 15
70 243 17
81 177 6
56 190 15
140 176 14
52 216 14
178 12 1
55 250 10
235 136 5
98 110 -2
92 121 12
89 208 3
127 142 13
184 80 11
183 130 8
110 96 13
141 49 13
207 226 19
16 238 0
183 38 10
198 229 -1
238 78 19
148 160 -2
148 165 18
167 224 4
29 239 15
237 94 2
237 188 8
134 230 0
183 217 4
208 218 12
211 49 14
232 76 17
68 187 2
197 220 3
212 81 20
64 19 2
78 1 5
148 111 5
162 22 5
178 13 9
17 132 4
119 202 4
237 132 -1
167 232 11
64 99 2
172 44 4
146 133 15
30 115 -2
215 81 3
47 156 2
100 84 7
33 89 9
187 18 9
119 21 9
199 231 0
36 92 -2
107 90 13
169 79 1
23 243 17
87 147 -1
193 208 2
44 90 4
168 159 14
171 193 4
209 154 16
67 127 3
49 121 8
103 5 5
152 220 17
211 230 15
92 236 13
54 189 0
81 59 6
101 117 4
191 9 -1
177 225 1
240 244 10
172 30 13
181 243 -2
137 87 11
74 65 19
43 240 -2
17 250 5
1 236 12
59 53 11
247 205 18
151 62 2
90 192 0
148 245 18
124 134 2
5 203 16
210 142 15
205 164 20
193 218 10
247 212 10
203 64 16
137 47 -2
16 174 14
84 110 4
242 170 2
235 239 8
181 206 5
175 35 4
188 207 17
87 148 10
106 245 8
97 21 11
40 3 12
160 172 12
145 21 11
246 25 -1
113 157 3
27 146 9
196 170 11
179 232 5
92 239 18
27 10 13
93 26 6
73 152 19
34 162 3
87 124 11
130 161 20
65 90 14
46 199 8
229 149 20
221 96 -2
125 184 7
229 241 7
226 34 1
4 181 18
181 194 -2
111 46 0
199 15 10
12 199 12
125 16 -2
175 25 6
29 207 -2
146 26 12
61 92 10
133 153 20
186 225 15
74 216 18
162 197 12
59 160 10
206 126 8
234 163 2
130 142 3
59 95 12
154 160 3
26 144 4
203 226 12
27 180 12
71 137 18
248 107 19
131 156 10
234 155 1
182 200 0
132 192 1
193 230 10
234 183 7
111 237 5
208 185 16
124 36 16
210 158 9
81 125 17
133 64 1
178 240 9
87 189 17
157 247 8
17 84 18
187 182 2
105 222 3
164 219 1
172 171 13
244 103 12
168 242 1
218 175 15
157 90 -2
87 157 3
55 170 -2
176 170 11
53 79 18
143 168 0
42 162 11
45 149 4
129 133 4
5 63 -2
195 138 18
154 158 -1
240 198 8
96 240 4
16 151 2
57 100 7
172 31 9
67 190 -1
206 228 -1
209 241 -2
182 61 2
47 66 5
245 89 19
91 31 16
202 169 12
162 234 0
69 236 16
249 244 10
23 117 17
232 191 1
192 218 18
216 142 4
54 195 9
56 109 -2
35 100 16
123 191 4
212 173 15
244 56 -2
218 132 8
74 247 2
189 240 17
55 15 14
73 26 19
224 141 16
212 151 16
180 89 10
6 32 5
109 232 -1
31 33 3
54 20 9
213 17 20
128 39 4
250 143 1
152 169 6
152 182 5
101 152 16
44 49 2
92 205 9
11 2 -2
170 114 10
45 117 6
163 244 8
193 245 20
206 242 5
174 7 5
203 239 0
206 25 17
33 234 13
180 173 11
170 181 6
