5000 15000
530 4762 20
1651 2202 17
3259 685 6
1668 4199 9
669 3605 -11
1629 127 -19
2054 2808 8
1092 1664 -14
2129 2232 13
948 640 16
69 2803 7
1413 2326 11
280 2408 2
4826 802 -16
2878 3923 -8
3273 2025 -20
3928 3817 -18
2097 3928 -9
1197 3337 -11
4738 4421 -7
2060 2073 -14
3143 1125 14
3180 4243 4
576 3630 17
3920 4945 9
1909 1253 20
3081 1501 -12
3740 2622 4
1745 588 7
4603 3790 8
1285 2407 0
1713 4459 -9
1577 920 17
12 2288 12
2908 3913 3
4472 2878 -8
54 827 -2
706 2476 -10
3406 4626 -6
3506 3247 -15
916 4484 9
271 4725 3
1973 1238 -20
4612 1445 -5
3097 906 -11
2151 4026 -20
4997 4670 3
4842 1567 12
3438 20 -17
3671 1873 -13
477 520 7
2896 4812 -13
2188 1409 20
3596 3642 -20
2283 1696 -4
1714 1075 4
532 229 6
3936 4272 4
3233 1375 -5
4084 2995 -11
1824 3436 1
374 3708 10
2047 4539 -7
294 1329 -11
3800 587 8
4725 2209 1
4071 2437 8
4872 2333 0
4873 4225 16
2271 3836 -19
4700 1912 -16
4326 1117 7
2240 442 20
1453 248 8
4788 675 -3
3323 3765 3
1163 3896 -15
1879 4901 15
4556 321 11
278 1401 -5
763 4706 -20
2205 2942 1
1338 1714 10
4795 2089 12
55 3225 11
635 3369 9
4939 3226 -11
2521 4829 7
1928 4367 -10
3430 3934 -17
4805 1903 16
4988 2310 11
518 904 20
1406 853 -8
3 1730 -5
3707 2112 -1
4614 4980 9
4312 1507 16
1771 536 20
493 4142 6
4839 1147 6
3902 4407 1
1384 4172 -5
402 4026 15
3666 796 -10
745 201 -5
3977 4646 -20
1076 2618 -17
4312 2943 -19
3906 1692 20
2544 4349 10
369 4101 -14
854 91 -19
3896 3895 5
4575 1930 9
815 4454 -20
1997 642 19
2428 3204 16
3878 2933 15
720 872 3
168 3378 -11
4728 2762 4
561 4366 -18
3745 3498 13
1624 336 6
3119 2126 -11
2494 2763 -15
3657 4512 -15
4984 2393 -20
2738 3663 15
1981 4671 8
3010 1834 -3
2715 4563 19
1863 594 14
236 3232 20
29 2220 -20
4583 3359 15
280 1823 8
136 958 13
3153 3635 -17
1145 1197 16
2737 1502 10
4745 2068 3
4058 69 1
4445 2168 -11
2193 1459 17
2169 112 6
3339 1663 4
1114 4879 3
588 2185 15
353 444 -18
4612 1717 -18
4768 496 -8
1891 3686 13
264 326 0
167 4613 3
4004 922 3
2503 4976 2
265 827 15
4929 1715 -7
1455 1183 11
2568 168 11
1054 4161 -18
2927 1275 18
2613 4307 15
4115 1471 -12
3347 1695 -9
3640 119 17
1134 426 18
3927 3174 1
1682 833 -8
2291 3781 -2
1823 3180 0
2707 955 -2
3585 3960 -19
3978 3802 -1
3134 1506 10
2057 4638 -15
2768 1456 -1
4133 4805 -5
3021 3853 -1
2439 1713 0
4903 668 -10
1360 3015 -13
4188 1901 17
4310 4681 -20
4973 4365 8
3559 4820 -16
3558 4367 -3
3593 1218 -10
2007 4469 11
11 1573 -11
2511 3498 -11
102 548 9
4444 3016 -2
3204 169 6
1912 2557 4
1519 3474 -9
1185 1505 8
2351 1625 -20
1324 1603 -15
4101 34 9
1928 4679 20
1379 624 2
3284 420 10
611 40 12
569 846 12
1812 679 -15
1415 4773 -4
2564 1472 7
3999 1722 -9
1983 3393 -7
3149 677 14
4575 708 8
4149 1913 12
1034 4106 12
414 2887 8
4937 2040 -17
2648 992 -16
300 663 -8
1251 2277 13
2633 836 -2
2169 4737 -12
3416 2092 -16
2964 1762 9
1412 1506 10
2753 3921 8
1940 3302 12
4613 475 -14
1948 2485 12
4885 2103 -3
4377 2021 19
2544 1624 -13
3730 4188 8
2828 1263 13
738 153 14
948 3878 12
3893 2139 -1
128 3943 10
4175 4368 18
3531 2587 -8
2076 242 14
4777 879 14
352 4673 -9
1651 3629 -14
2464 3764 19
2821 1314 16
4935 651 -3
3699 1341 -1
2704 847 0
4473 3888 19
592 1216 -1
2108 992 -6
2771 1870 -13
4264 1359 18
2334 3521 11
830 1505 -7
4586 3760 8
2340 4770 -13
4987 2832 -19
475 2365 17
1638 3360 7
3774 4667 8
2412 4480 -6
1949 4247 -5
1639 183 -11
1968 1395 18
2077 2322 -2
3799 170 -9
2075 143 10
1828 3345 17
273 4028 -12
529 97 -15
669 1894 4
3959 2522 10
272 4053 -7
4091 370 13
3384 629 -2
3295 1331 -12
3428 1563 -3
3897 3051 -18
876 2599 -17
2585 734 -14
4841 2511 -9
1206 2335 14
4598 1028 6
710 2547 -12
247 1244 -10
2969 3640 -18
4086 3133 -9
532 4682 7
4845 1012 3
977 3812 -16
3310 644 18
3670 1732 14
4067 255 -20
2025 3644 -3
4069 2412 15
2565 1685 -2
1036 2197 -4
499 1037 -5
396 3638 -1
2364 1056 11
3611 1936 -2
4221 1839 -10
4558 2410 12
2446 4689 -16
927 2071 -5
1761 3103 5
4430 2323 2
60 3644 17
1263 3025 14
4556 1668 9
4006 2623 -15
3869 2399 20
4155 3003 -3
3077 3466 -12
3776 4388 12
4605 416 -10
4289 3594 -20
4109 720 -6
1115 1003 8
4846 2950 15
2953 856 8
3805 4428 -1
3837 3206 4
3210 2406 8
1361 1803 7
3458 2806 9
1486 2211 19
311 4022 14
393 4640 -11
880 4844 19
4910 2517 -5
2703 1186 -17
4287 4103 -12
1492 432 -6
3411 2210 -8
752 3473 10
3608 1782 20
558 4626 20
4861 1089 18
1436 1355 19
4863 4437 -8
174 846 1
415 3519 -2
768 888 9
3880 2244 4
3293 2734 -12
4514 922 0
4251 2139 13
3467 3085 0
1467 1570 14
1400 79 14
2985 1411 3
198 4007 4
797 4148 -10
240 1603 5
4903 4393 -19
4200 2026 -19
731 2207 -11
2324 4796 11
4398 922 -13
4472 4317 20
1884 2467 1
1049 61 13
629 1056 17
3784 4481 5
4496 2430 -19
3750 4870 -11
2596 1901 10
4344 3628 -15
1875 2487 -15
4757 2585 -1
651 1514 12
2148 2961 -2
500 1152 -13
796 2177 15
1033 3017 4
635 2118 17
3345 701 -12
4636 926 3
3890 1144 6
3756 3222 -10
2237 1075 7
3139 74 19
2438 2077 -9
1917 1579 -13
1286 2431 -7
